path,loc,batch,p1_status,p1_date,p2_lenses,dossier,notes
Programma_CS2_RENAN/__init__.py,2,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/__init__.py,0,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/app_types.py,116,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/config.py,577,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/constants.py,39,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/frozen_hook.py,22,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/lifecycle.py,180,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/lock_files.py,243,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/registry.py,52,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/tick_rate.py,64,B01,read,2026-08-14,,D-B01,
Programma_CS2_RENAN/core/asset_manager.py,272,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/demo_frame.py,167,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/localization.py,451,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/map_manager.py,113,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/playback_engine.py,262,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/session_engine.py,612,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/spatial_engine.py,107,B02,read,2026-08-14,,D-B02,
Programma_CS2_RENAN/core/map_callouts.py,373,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/core/spatial_data.py,424,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/__init__.py,0,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/error_codes.py,307,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/exceptions.py,49,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/label_source_monitor.py,161,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/logger_setup.py,326,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/rasp.py,201,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/observability/sentry_setup.py,151,B03,read,2026-08-14,,D-B03,
Programma_CS2_RENAN/backend/storage/__init__.py,0,B04,,,,D-B04,
Programma_CS2_RENAN/backend/storage/database.py,551,B04,,,,D-B04,
Programma_CS2_RENAN/backend/storage/db_models.py,906,B04,,,,D-B04,
Programma_CS2_RENAN/backend/storage/models/__init__.py,0,B04,,,,D-B04,
Programma_CS2_RENAN/backend/storage/storage_manager.py,295,B04,,,,D-B04,
Programma_CS2_RENAN/backend/storage/datasets/__init__.py,0,B05,,,,D-B05,
Programma_CS2_RENAN/backend/storage/maintenance.py,49,B05,,,,D-B05,
Programma_CS2_RENAN/backend/storage/match_data_manager.py,1150,B05,,,,D-B05,
Programma_CS2_RENAN/backend/storage/stat_aggregator.py,126,B05,,,,D-B05,
Programma_CS2_RENAN/backend/storage/state_manager.py,275,B05,,,,D-B05,
Programma_CS2_RENAN/backend/storage/backup_manager.py,308,B06,,,,D-B06,
Programma_CS2_RENAN/backend/storage/db_backup.py,295,B06,,,,D-B06,
Programma_CS2_RENAN/backend/storage/db_migrate.py,119,B06,,,,D-B06,
Programma_CS2_RENAN/backend/storage/remote_file_server.py,256,B06,,,,D-B06,
